vessel,n,start_utc,end_utc
Pelican,1,29-Jun-2021 17:54:43,29-Jun-2021 21:44:48
Pelican,2,29-Jun-2021 21:44:48,30-Jun-2021 01:16:41
Pelican,3,30-Jun-2021 01:16:41,30-Jun-2021 04:29:56
Pelican,4,30-Jun-2021 04:29:56,30-Jun-2021 07:57:25
Pelican,5,30-Jun-2021 07:57:25,30-Jun-2021 11:00:02
Pelican,6,30-Jun-2021 11:00:02,30-Jun-2021 14:14:52
Pelican,7,30-Jun-2021 14:14:52,30-Jun-2021 17:17:01
Pelican,8,30-Jun-2021 17:17:01,30-Jun-2021 21:10:43
Pelican,9,30-Jun-2021 21:10:43,30-Jun-2021 22:14:21
Pelican,10,30-Jun-2021 22:14:21,01-Jul-2021 02:50:39
Pelican,11,01-Jul-2021 02:50:39,01-Jul-2021 06:33:17
Pelican,12,01-Jul-2021 06:33:17,01-Jul-2021 10:41:10
Pelican,13,01-Jul-2021 10:41:10,01-Jul-2021 13:54:18
Pelican,14,01-Jul-2021 13:54:18,01-Jul-2021 17:24:14
Pelican,15,01-Jul-2021 17:23:34,01-Jul-2021 20:48:16
