vessel,n,start_utc,end_utc,start_lat,start_lon,end_lat,end_lon
Polly,1,30-Jun-2021 21:23:27,01-Jul-2021 01:03:46,28.8985,-91.7807,29.0100,-91.7464
Aries,1,30-Jun-2021 21:39:36,01-Jul-2021 00:39:21,28.8992,-91.7850,29.0100,-91.7527
Walton_Smith,1,30-Jun-2021 21:48:44,01-Jul-2021 00:59:13,28.8943,-91.7760,29.0254,-91.7372
Aries,2,01-Jul-2021 00:55:34,01-Jul-2021 04:44:18,29.0098,-91.7525,28.8992,-91.7851
Walton_Smith,2,01-Jul-2021 00:59:13,01-Jul-2021 05:15:49,29.0254,-91.7372,28.8961,-91.7844
Polly,2,01-Jul-2021 01:03:46,01-Jul-2021 05:07:45,29.0100,-91.7464,28.8981,-91.7800
Aries,3,01-Jul-2021 04:44:18,01-Jul-2021 08:34:15,28.8992,-91.7851,29.0049,-91.7534
Polly,3,01-Jul-2021 05:08:10,01-Jul-2021 08:31:51,28.8981,-91.7801,29.0023,-91.7495
Walton_Smith,3,01-Jul-2021 05:15:49,01-Jul-2021 08:24:52,28.8961,-91.7844,29.0062,-91.7519
Walton_Smith,4,01-Jul-2021 08:24:52,01-Jul-2021 10:57:11,29.0062,-91.7519,28.9050,-91.7821
Polly,4,01-Jul-2021 08:31:51,01-Jul-2021 10:53:15,29.0023,-91.7495,28.9039,-91.7783
Aries,4,01-Jul-2021 08:34:15,01-Jul-2021 10:59:33,29.0049,-91.7534,28.9070,-91.7847
Polly,5,01-Jul-2021 10:53:15,01-Jul-2021 13:03:04,28.9039,-91.7783,29.0051,-91.7483
Walton_Smith,5,01-Jul-2021 10:57:11,01-Jul-2021 13:04:39,28.9050,-91.7821,29.0067,-91.7509
Aries,5,01-Jul-2021 10:59:33,01-Jul-2021 13:03:15,28.9070,-91.7847,29.0069,-91.7527
Polly,6,01-Jul-2021 13:03:04,01-Jul-2021 16:14:53,29.0051,-91.7483,28.8825,-91.7869
Aries,6,01-Jul-2021 13:03:15,01-Jul-2021 15:38:02,29.0069,-91.7527,28.8922,-91.7870
Walton_Smith,6,01-Jul-2021 13:04:39,01-Jul-2021 16:30:28,29.0067,-91.7509,28.8850,-91.7902
Aries,7,01-Jul-2021 16:21:43,01-Jul-2021 19:16:42,28.8907,-91.7920,28.9805,-91.7549
Walton_Smith,7,01-Jul-2021 16:45:24,01-Jul-2021 19:20:26,28.8959,-91.7849,28.9789,-91.7537
Polly,7,01-Jul-2021 17:06:54,01-Jul-2021 19:16:24,28.8964,-91.7886,28.9780,-91.7517
Polly,8,01-Jul-2021 19:16:24,01-Jul-2021 21:26:59,28.9780,-91.7517,28.9007,-91.7827
Aries,8,01-Jul-2021 19:16:42,01-Jul-2021 21:13:14,28.9805,-91.7549,28.9033,-91.7874
Walton_Smith,8,01-Jul-2021 19:20:50,01-Jul-2021 21:37:02,28.9789,-91.7536,28.9058,-91.7960
