vessel,n,start_utc,end_utc,start_lat,start_lon,end_lat,end_lon
Walton_Smith,20,24-Jun-2021 13:52:50,24-Jun-2021 17:48:57,28.7492,-91.8033,28.9009,-91.7627
Polly,21,24-Jun-2021 17:08:13,24-Jun-2021 22:29:20,28.8974,-91.7636,28.7397,-91.8096
Pelican,21,24-Jun-2021 17:12:44,24-Jun-2021 22:17:28,28.8981,-91.7729,28.7351,-91.8183
Walton_Smith,21,24-Jun-2021 17:48:57,24-Jun-2021 22:36:18,28.9009,-91.7627,28.7453,-91.8053
Pelican,22,24-Jun-2021 22:17:28,25-Jun-2021 02:29:49,28.7351,-91.8183,28.9007,-91.7709
Polly,22,24-Jun-2021 22:29:20,25-Jun-2021 02:28:00,28.7397,-91.8096,28.9024,-91.7623
Aries,22,24-Jun-2021 22:35:02,25-Jun-2021 02:27:58,28.7432,-91.8045,28.9065,-91.7635
Walton_Smith,22,24-Jun-2021 22:36:18,25-Jun-2021 02:29:34,28.7453,-91.8053,28.9015,-91.7593
Aries,23,25-Jun-2021 02:27:58,25-Jun-2021 06:23:38,28.9065,-91.7635,28.7507,-91.8089
Polly,23,25-Jun-2021 02:28:00,25-Jun-2021 06:23:35,28.9024,-91.7623,28.7502,-91.8067
Walton_Smith,23,25-Jun-2021 02:29:34,25-Jun-2021 06:23:36,28.9015,-91.7593,28.7486,-91.8035
Pelican,23,25-Jun-2021 02:29:49,25-Jun-2021 06:23:13,28.9007,-91.7709,28.7502,-91.8143
Pelican,24,25-Jun-2021 06:23:13,25-Jun-2021 09:29:55,28.7502,-91.8143,28.9013,-91.7698
Polly,24,25-Jun-2021 06:23:35,25-Jun-2021 09:28:59,28.7502,-91.8067,28.8990,-91.7631
Walton_Smith,24,25-Jun-2021 06:23:36,25-Jun-2021 09:28:55,28.7486,-91.8035,28.8974,-91.7585
Aries,24,25-Jun-2021 06:23:38,25-Jun-2021 09:28:45,28.7507,-91.8089,28.8998,-91.7654
Aries,25,25-Jun-2021 09:28:45,25-Jun-2021 13:13:16,28.8998,-91.7654,28.7410,-91.8119
Walton_Smith,25,25-Jun-2021 09:28:55,25-Jun-2021 13:18:56,28.8974,-91.7585,28.7361,-91.8073
Polly,25,25-Jun-2021 09:28:59,25-Jun-2021 13:15:24,28.8990,-91.7631,28.7397,-91.8097
Pelican,25,25-Jun-2021 09:29:55,25-Jun-2021 13:19:44,28.9013,-91.7698,28.7369,-91.8189
Aries,26,25-Jun-2021 13:13:16,25-Jun-2021 17:02:00,28.7410,-91.8119,28.8985,-91.7657
Polly,26,25-Jun-2021 13:15:24,25-Jun-2021 17:03:27,28.7397,-91.8097,28.8968,-91.7640
Walton_Smith,26,25-Jun-2021 13:18:56,25-Jun-2021 17:02:39,28.7361,-91.8073,28.8959,-91.7600
Pelican,26,25-Jun-2021 13:19:44,25-Jun-2021 17:02:12,28.7369,-91.8189,28.8983,-91.7709
Aries,27,25-Jun-2021 17:02:00,25-Jun-2021 20:26:47,28.8985,-91.7657,28.7410,-91.8119
Pelican,27,25-Jun-2021 17:02:12,25-Jun-2021 20:39:33,28.8983,-91.7709,28.7299,-91.8191
Walton_Smith,27,25-Jun-2021 17:02:39,25-Jun-2021 20:51:57,28.8959,-91.7600,28.7388,-91.8068
Polly,27,25-Jun-2021 17:03:27,25-Jun-2021 20:17:04,28.8968,-91.7640,28.7475,-91.8035
Aries,28,25-Jun-2021 20:26:47,26-Jun-2021 01:30:39,28.7410,-91.8119,28.9078,-91.7632
Pelican,28,25-Jun-2021 20:39:33,26-Jun-2021 01:25:24,28.7299,-91.8191,28.9052,-91.7738
Walton_Smith,28,25-Jun-2021 20:51:57,26-Jun-2021 01:17:38,28.7388,-91.8068,28.8982,-91.7609
Walton_Smith,29,26-Jun-2021 01:17:38,26-Jun-2021 05:19:59,28.8982,-91.7609,28.7470,-91.8030
Pelican,29,26-Jun-2021 01:25:24,26-Jun-2021 05:19:11,28.9052,-91.7738,28.7506,-91.8136
Polly,29,26-Jun-2021 01:27:55,26-Jun-2021 05:18:35,28.8984,-91.7637,28.7496,-91.8068
Aries,29,26-Jun-2021 01:30:39,26-Jun-2021 05:18:25,28.9078,-91.7632,28.7495,-91.8095
Aries,30,26-Jun-2021 05:18:25,26-Jun-2021 08:26:10,28.7495,-91.8095,28.8997,-91.7653
Polly,30,26-Jun-2021 05:18:35,26-Jun-2021 08:26:18,28.7496,-91.8068,28.8984,-91.7633
Pelican,30,26-Jun-2021 05:19:11,26-Jun-2021 08:25:39,28.7506,-91.8136,28.9016,-91.7700
Walton_Smith,30,26-Jun-2021 05:19:59,26-Jun-2021 08:41:57,28.7470,-91.8030,28.8980,-91.7611
Pelican,31,26-Jun-2021 08:25:39,26-Jun-2021 12:14:12,28.9016,-91.7700,28.7483,-91.8143
Aries,31,26-Jun-2021 08:26:10,26-Jun-2021 12:14:25,28.8997,-91.7653,28.7424,-91.8115
Polly,31,26-Jun-2021 08:26:18,26-Jun-2021 12:22:43,28.8984,-91.7633,28.7425,-91.8090
Walton_Smith,31,26-Jun-2021 08:41:57,26-Jun-2021 12:16:29,28.8980,-91.7611,28.7475,-91.8047
Pelican,32,26-Jun-2021 12:14:12,26-Jun-2021 16:46:39,28.7483,-91.8143,29.0379,-91.8910
Aries,32,26-Jun-2021 12:14:25,26-Jun-2021 15:48:53,28.7424,-91.8115,28.8976,-91.7643
Walton_Smith,32,26-Jun-2021 12:16:29,26-Jun-2021 15:58:52,28.7475,-91.8047,28.9020,-91.7578
Polly,32,26-Jun-2021 12:22:43,26-Jun-2021 16:18:40,28.7425,-91.8090,28.9104,-91.7599
Walton_Smith,33,27-Jun-2021 01:21:58,27-Jun-2021 07:04:46,28.9018,-91.7614,28.6919,-91.8267
Walton_Smith,34,27-Jun-2021 07:04:46,27-Jun-2021 12:09:15,28.6919,-91.8267,28.9044,-91.7590
Walton_Smith,35,27-Jun-2021 12:09:15,27-Jun-2021 15:09:18,28.9044,-91.7590,28.7470,-91.8045
Walton_Smith,36,27-Jun-2021 15:09:18,27-Jun-2021 18:06:30,28.7470,-91.8045,28.9020,-91.7591
Walton_Smith,37,27-Jun-2021 18:06:30,27-Jun-2021 21:45:34,28.9020,-91.7591,28.7460,-91.8054
Walton_Smith,38,27-Jun-2021 21:45:34,28-Jun-2021 01:34:30,28.7460,-91.8054,28.9028,-91.7642
Walton_Smith,39,28-Jun-2021 01:40:11,28-Jun-2021 05:43:47,28.9045,-91.7669,28.7351,-91.8074
Walton_Smith,40,28-Jun-2021 05:43:47,28-Jun-2021 09:31:27,28.7351,-91.8074,28.9073,-91.7557
Walton_Smith,41,28-Jun-2021 09:49:40,28-Jun-2021 13:56:14,28.9089,-91.7607,28.7223,-91.8100
Walton_Smith,42,28-Jun-2021 13:56:14,28-Jun-2021 18:31:07,28.7223,-91.8100,28.9109,-91.7558
Walton_Smith,43,28-Jun-2021 18:31:07,28-Jun-2021 22:24:40,28.9109,-91.7558,28.7430,-91.8056
Walton_Smith,44,28-Jun-2021 22:53:34,29-Jun-2021 02:45:48,28.7421,-91.8101,28.8977,-91.7586
Pelican,44,29-Jun-2021 00:28:59,29-Jun-2021 02:44:16,28.8191,-91.7914,28.8996,-91.7700
Pelican,45,29-Jun-2021 02:44:16,29-Jun-2021 06:54:18,28.8996,-91.7700,28.7433,-91.8153
Walton_Smith,45,29-Jun-2021 02:45:48,29-Jun-2021 06:52:55,28.8977,-91.7586,28.7455,-91.8030
Walton_Smith,46,29-Jun-2021 06:52:55,29-Jun-2021 10:54:41,28.7455,-91.8030,28.9035,-91.7616
Pelican,46,29-Jun-2021 06:54:18,29-Jun-2021 10:32:55,28.7433,-91.8153,28.9012,-91.7697
Pelican,47,29-Jun-2021 10:32:55,29-Jun-2021 14:26:54,28.9012,-91.7697,28.7502,-91.8140
Walton_Smith,47,29-Jun-2021 10:58:53,29-Jun-2021 14:31:23,28.9041,-91.7626,28.7474,-91.8046
Polly,47,29-Jun-2021 11:00:12,29-Jun-2021 14:29:31,28.9053,-91.7635,28.7429,-91.8089
Pelican,48,29-Jun-2021 14:26:54,29-Jun-2021 18:17:15,28.7502,-91.8140,28.8968,-91.7725
Polly,48,29-Jun-2021 14:29:31,29-Jun-2021 18:33:06,28.7429,-91.8089,28.9104,-91.7599
Walton_Smith,48,29-Jun-2021 14:31:23,29-Jun-2021 18:47:21,28.7474,-91.8046,28.9034,-91.7572
Polly,49,29-Jun-2021 18:33:06,29-Jun-2021 22:40:29,28.9104,-91.7599,28.7409,-91.8093
Aries,49,29-Jun-2021 18:49:29,29-Jun-2021 22:40:14,28.9041,-91.7582,28.7450,-91.8107
Walton_Smith,49,29-Jun-2021 18:57:44,29-Jun-2021 22:41:04,28.9072,-91.7608,28.7432,-91.8059
Aries,50,29-Jun-2021 22:40:14,30-Jun-2021 02:16:25,28.7450,-91.8107,28.9058,-91.7636
Polly,50,29-Jun-2021 22:40:29,30-Jun-2021 02:16:07,28.7409,-91.8093,28.9051,-91.7614
Walton_Smith,50,29-Jun-2021 22:41:04,30-Jun-2021 02:17:07,28.7432,-91.8059,28.9045,-91.7574
Polly,51,30-Jun-2021 02:16:07,30-Jun-2021 06:19:23,28.9051,-91.7614,28.7424,-91.8090
Aries,51,30-Jun-2021 02:16:25,30-Jun-2021 06:19:15,28.9058,-91.7636,28.7411,-91.8121
Walton_Smith,51,30-Jun-2021 02:17:07,30-Jun-2021 06:19:49,28.9045,-91.7574,28.7419,-91.8050
Aries,52,30-Jun-2021 06:19:15,30-Jun-2021 09:59:14,28.7411,-91.8121,28.9086,-91.7628
Polly,52,30-Jun-2021 06:19:23,30-Jun-2021 10:04:44,28.7424,-91.8090,28.9104,-91.7598
Walton_Smith,52,30-Jun-2021 06:19:49,30-Jun-2021 10:07:48,28.7419,-91.8050,28.9099,-91.7558
Aries,53,30-Jun-2021 09:59:14,30-Jun-2021 14:52:29,28.9086,-91.7628,28.7137,-91.8198
Polly,53,30-Jun-2021 10:04:44,30-Jun-2021 14:53:12,28.9104,-91.7598,28.7138,-91.8173
Walton_Smith,53,30-Jun-2021 10:07:48,30-Jun-2021 14:54:30,28.9099,-91.7558,28.7141,-91.8136
Aries,54,30-Jun-2021 14:52:29,30-Jun-2021 18:52:57,28.7137,-91.8198,28.8804,-91.7711
Polly,54,30-Jun-2021 14:53:12,30-Jun-2021 19:52:45,28.7138,-91.8173,28.9027,-91.7652
Walton_Smith,54,30-Jun-2021 14:54:30,30-Jun-2021 19:49:15,28.7141,-91.8136,28.9022,-91.7643
