vessel,n,start_utc,end_utc,start_lat,start_lon,end_lat,end_lon
Pelican,1,29-Jun-2021 17:54:43,29-Jun-2021 21:44:48,28.8842,-91.7742,29.0398,-91.7341
Pelican,2,29-Jun-2021 21:44:48,30-Jun-2021 01:16:41,29.0398,-91.7341,28.8963,-91.7749
Pelican,3,30-Jun-2021 01:16:41,30-Jun-2021 04:29:56,28.8963,-91.7749,29.0253,-91.7377
Pelican,4,30-Jun-2021 04:29:56,30-Jun-2021 07:57:25,29.0253,-91.7377,28.8949,-91.7760
Pelican,5,30-Jun-2021 07:57:25,30-Jun-2021 11:00:02,28.8949,-91.7760,29.0275,-91.7375
Pelican,6,30-Jun-2021 11:00:02,30-Jun-2021 14:14:52,29.0275,-91.7375,28.8942,-91.7760
Pelican,7,30-Jun-2021 14:14:52,30-Jun-2021 17:17:01,28.8942,-91.7760,29.0258,-91.7375
Pelican,8,30-Jun-2021 17:17:01,30-Jun-2021 21:10:43,29.0258,-91.7375,28.8500,-91.7817
Pelican,9,30-Jun-2021 21:10:43,30-Jun-2021 22:14:21,28.8500,-91.7817,28.9017,-91.7673
Pelican,10,30-Jun-2021 22:14:21,01-Jul-2021 02:50:39,28.9017,-91.7673,28.7388,-91.8173
Pelican,11,01-Jul-2021 02:50:39,01-Jul-2021 06:33:17,28.7388,-91.8173,28.9020,-91.7694
Pelican,12,01-Jul-2021 06:33:17,01-Jul-2021 10:41:10,28.9020,-91.7694,28.7519,-91.8134
Pelican,13,01-Jul-2021 10:41:10,01-Jul-2021 13:54:18,28.7519,-91.8134,28.8984,-91.7710
Pelican,14,01-Jul-2021 13:54:18,01-Jul-2021 17:24:14,28.8984,-91.7710,28.7525,-91.8129
Pelican,15,01-Jul-2021 17:23:34,01-Jul-2021 20:48:16,28.7528,-91.8132,28.9031,-91.7687
