vessel,n,start_utc,end_utc
Pelican,1,21-Jun-2021 03:14:04,21-Jun-2021 08:28:48
Pelican,2,21-Jun-2021 08:28:48,21-Jun-2021 13:52:38
Pelican,3,21-Jun-2021 13:52:38,21-Jun-2021 19:18:20
Pelican,4,21-Jun-2021 19:18:20,22-Jun-2021 01:36:05
Pelican,5,22-Jun-2021 01:36:05,22-Jun-2021 06:03:21
Pelican,6,22-Jun-2021 06:03:21,22-Jun-2021 10:00:33
Pelican,7,22-Jun-2021 10:00:33,22-Jun-2021 14:20:38
Pelican,8,22-Jun-2021 14:20:38,22-Jun-2021 18:37:14
Pelican,9,22-Jun-2021 18:37:14,22-Jun-2021 22:42:21
Pelican,10,22-Jun-2021 22:42:21,23-Jun-2021 03:29:18
Pelican,11,23-Jun-2021 03:29:18,23-Jun-2021 07:11:00
Pelican,12,23-Jun-2021 07:11:00,23-Jun-2021 10:21:45
Pelican,13,23-Jun-2021 10:21:45,23-Jun-2021 13:48:46
Pelican,14,23-Jun-2021 13:48:46,23-Jun-2021 18:01:47
Pelican,15,23-Jun-2021 18:01:47,23-Jun-2021 22:33:30
Pelican,16,23-Jun-2021 22:33:30,24-Jun-2021 02:37:45
Pelican,17,24-Jun-2021 02:37:45,24-Jun-2021 07:14:37
Pelican,18,24-Jun-2021 07:14:37,24-Jun-2021 10:12:52
Pelican,19,24-Jun-2021 10:12:52,24-Jun-2021 13:52:22
Pelican,20,24-Jun-2021 13:52:22,24-Jun-2021 17:12:44
Pelican,21,24-Jun-2021 17:12:44,24-Jun-2021 22:17:28
Pelican,22,24-Jun-2021 22:17:28,25-Jun-2021 02:29:49
Pelican,23,25-Jun-2021 02:29:49,25-Jun-2021 06:23:13
Pelican,24,25-Jun-2021 06:23:13,25-Jun-2021 09:29:55
Pelican,25,25-Jun-2021 09:29:55,25-Jun-2021 13:19:44
Pelican,26,25-Jun-2021 13:19:44,25-Jun-2021 17:02:12
Pelican,27,25-Jun-2021 17:02:12,25-Jun-2021 20:39:33
Pelican,28,25-Jun-2021 20:39:33,26-Jun-2021 01:25:24
Pelican,29,26-Jun-2021 01:25:24,26-Jun-2021 05:19:11
Pelican,30,26-Jun-2021 05:19:11,26-Jun-2021 08:25:39
Pelican,31,26-Jun-2021 08:25:39,26-Jun-2021 12:14:12
Pelican,32,26-Jun-2021 12:14:12,26-Jun-2021 16:46:39
Pelican,44,29-Jun-2021 00:28:59,29-Jun-2021 02:44:16
Pelican,45,29-Jun-2021 02:44:16,29-Jun-2021 06:54:18
Pelican,46,29-Jun-2021 06:54:18,29-Jun-2021 10:32:55
Pelican,47,29-Jun-2021 10:32:55,29-Jun-2021 14:26:54
Pelican,48,29-Jun-2021 14:26:54,29-Jun-2021 18:17:15
