vessel,n,start_utc,end_utc
Polly,16,23-Jun-2021 22:30:38,24-Jun-2021 02:37:00
Polly,17,24-Jun-2021 02:37:00,24-Jun-2021 07:13:00
Polly,18,24-Jun-2021 07:13:00,24-Jun-2021 10:14:48
Polly,19,24-Jun-2021 10:14:48,24-Jun-2021 13:52:21
Polly,20,24-Jun-2021 13:52:21,24-Jun-2021 17:08:13
Polly,21,24-Jun-2021 17:08:13,24-Jun-2021 22:29:20
Polly,22,24-Jun-2021 22:29:20,25-Jun-2021 02:28:00
Polly,23,25-Jun-2021 02:28:00,25-Jun-2021 06:23:35
Polly,24,25-Jun-2021 06:23:35,25-Jun-2021 09:28:59
Polly,25,25-Jun-2021 09:28:59,25-Jun-2021 13:15:24
Polly,26,25-Jun-2021 13:15:24,25-Jun-2021 17:03:27
Polly,27,25-Jun-2021 17:03:27,25-Jun-2021 20:17:04
Polly,29,26-Jun-2021 01:27:55,26-Jun-2021 05:18:35
Polly,30,26-Jun-2021 05:18:35,26-Jun-2021 08:26:18
Polly,31,26-Jun-2021 08:26:18,26-Jun-2021 12:22:43
Polly,32,26-Jun-2021 12:22:43,26-Jun-2021 16:18:40
Polly,47,29-Jun-2021 11:00:12,29-Jun-2021 14:29:31
Polly,48,29-Jun-2021 14:29:31,29-Jun-2021 18:33:06
Polly,49,29-Jun-2021 18:33:06,29-Jun-2021 22:40:29
Polly,50,29-Jun-2021 22:40:29,30-Jun-2021 02:16:07
Polly,51,30-Jun-2021 02:16:07,30-Jun-2021 06:19:23
Polly,52,30-Jun-2021 06:19:23,30-Jun-2021 10:04:44
Polly,53,30-Jun-2021 10:04:44,30-Jun-2021 14:53:12
Polly,54,30-Jun-2021 14:53:12,30-Jun-2021 19:52:45
