vessel,n,start_utc,end_utc
Aries,1,30-Jun-2021 21:39:36,01-Jul-2021 00:39:21
Aries,2,01-Jul-2021 00:55:34,01-Jul-2021 04:44:18
Aries,3,01-Jul-2021 04:44:18,01-Jul-2021 08:34:15
Aries,4,01-Jul-2021 08:34:15,01-Jul-2021 10:59:33
Aries,5,01-Jul-2021 10:59:33,01-Jul-2021 13:03:15
Aries,6,01-Jul-2021 13:03:15,01-Jul-2021 15:38:02
Aries,7,01-Jul-2021 16:21:43,01-Jul-2021 19:16:42
Aries,8,01-Jul-2021 19:16:42,01-Jul-2021 21:13:14
Aries,14,02-Jul-2021 15:05:17,02-Jul-2021 18:44:39
Aries,15,02-Jul-2021 18:44:39,02-Jul-2021 23:00:49
Aries,16,02-Jul-2021 23:00:49,03-Jul-2021 02:38:29
Aries,17,03-Jul-2021 02:38:29,03-Jul-2021 06:19:34
Aries,18,03-Jul-2021 06:19:34,03-Jul-2021 09:59:13
Aries,19,03-Jul-2021 09:59:13,03-Jul-2021 14:07:05
Aries,20,03-Jul-2021 14:25:41,03-Jul-2021 18:14:37
Aries,21,03-Jul-2021 18:14:37,03-Jul-2021 23:47:35
Aries,22,04-Jul-2021 01:19:46,04-Jul-2021 05:42:48
Aries,23,04-Jul-2021 05:42:48,04-Jul-2021 08:17:28
Aries,24,04-Jul-2021 08:17:28,04-Jul-2021 10:52:34
Aries,25,04-Jul-2021 10:52:34,04-Jul-2021 14:34:46
Aries,26,04-Jul-2021 14:34:46,04-Jul-2021 17:49:25
Aries,27,04-Jul-2021 17:49:25,04-Jul-2021 20:56:57
Aries,28,04-Jul-2021 21:46:02,05-Jul-2021 01:17:19
Aries,29,05-Jul-2021 01:17:19,05-Jul-2021 04:01:57
Aries,30,05-Jul-2021 04:01:57,05-Jul-2021 07:10:19
Aries,31,05-Jul-2021 07:10:19,05-Jul-2021 10:52:35
Aries,32,05-Jul-2021 10:52:35,05-Jul-2021 14:58:35
Aries,33,05-Jul-2021 14:58:35,05-Jul-2021 19:34:21
Aries,34,05-Jul-2021 19:34:21,05-Jul-2021 23:45:31
Aries,35,05-Jul-2021 23:45:31,06-Jul-2021 00:27:46
Aries,36,06-Jul-2021 00:57:09,06-Jul-2021 04:13:24
Aries,37,06-Jul-2021 04:13:24,06-Jul-2021 07:26:02
Aries,38,06-Jul-2021 07:26:02,06-Jul-2021 11:10:09
Aries,39,06-Jul-2021 11:10:09,06-Jul-2021 15:03:13
Aries,40,06-Jul-2021 15:03:13,06-Jul-2021 18:48:54
Aries,42,06-Jul-2021 22:53:31,07-Jul-2021 03:54:17
Aries,43,07-Jul-2021 03:54:17,07-Jul-2021 08:21:26
Aries,44,07-Jul-2021 08:21:26,07-Jul-2021 13:16:53
Aries,45,07-Jul-2021 13:16:53,07-Jul-2021 18:27:32
Aries,46,07-Jul-2021 18:27:32,07-Jul-2021 23:45:47
