vessel,n,start_utc,end_utc
Walton_Smith,1,30-Jun-2021 21:48:44,01-Jul-2021 00:59:13
Walton_Smith,2,01-Jul-2021 00:59:13,01-Jul-2021 05:15:49
Walton_Smith,3,01-Jul-2021 05:15:49,01-Jul-2021 08:24:52
Walton_Smith,4,01-Jul-2021 08:24:52,01-Jul-2021 10:57:11
Walton_Smith,5,01-Jul-2021 10:57:11,01-Jul-2021 13:04:39
Walton_Smith,6,01-Jul-2021 13:04:39,01-Jul-2021 16:30:28
Walton_Smith,7,01-Jul-2021 16:45:24,01-Jul-2021 19:20:26
Walton_Smith,8,01-Jul-2021 19:20:50,01-Jul-2021 21:37:02
Walton_Smith,9,01-Jul-2021 21:12:44,02-Jul-2021 00:06:26
Walton_Smith,10,02-Jul-2021 00:06:26,02-Jul-2021 01:27:37
Walton_Smith,11,02-Jul-2021 01:27:37,02-Jul-2021 06:42:33
Walton_Smith,12,02-Jul-2021 06:42:33,02-Jul-2021 11:47:58
Walton_Smith,13,02-Jul-2021 11:47:58,02-Jul-2021 15:05:29
Walton_Smith,14,02-Jul-2021 15:05:29,02-Jul-2021 18:46:40
Walton_Smith,15,02-Jul-2021 18:46:40,02-Jul-2021 22:38:13
Walton_Smith,16,02-Jul-2021 22:38:13,03-Jul-2021 02:41:20
Walton_Smith,17,03-Jul-2021 02:41:20,03-Jul-2021 06:21:13
Walton_Smith,18,03-Jul-2021 06:21:13,03-Jul-2021 10:02:36
Walton_Smith,19,03-Jul-2021 10:02:36,03-Jul-2021 13:48:18
Walton_Smith,20,03-Jul-2021 14:32:57,03-Jul-2021 18:15:59
Walton_Smith,21,03-Jul-2021 18:15:59,03-Jul-2021 23:40:16
Walton_Smith,22,04-Jul-2021 01:12:16,04-Jul-2021 05:44:22
Walton_Smith,23,04-Jul-2021 05:44:22,04-Jul-2021 08:18:40
Walton_Smith,24,04-Jul-2021 08:18:40,04-Jul-2021 10:53:19
Walton_Smith,25,04-Jul-2021 10:53:19,04-Jul-2021 14:28:14
Walton_Smith,26,04-Jul-2021 14:28:14,04-Jul-2021 17:50:06
Walton_Smith,27,04-Jul-2021 17:50:06,04-Jul-2021 20:54:11
Walton_Smith,28,04-Jul-2021 21:35:00,05-Jul-2021 01:16:12
Walton_Smith,29,05-Jul-2021 01:16:12,05-Jul-2021 04:03:35
Walton_Smith,30,05-Jul-2021 04:03:35,05-Jul-2021 07:13:21
Walton_Smith,31,05-Jul-2021 07:13:21,05-Jul-2021 10:59:20
Walton_Smith,32,05-Jul-2021 11:07:09,05-Jul-2021 15:01:59
Walton_Smith,33,05-Jul-2021 15:01:59,05-Jul-2021 19:35:15
Walton_Smith,34,05-Jul-2021 19:35:15,05-Jul-2021 23:31:54
Walton_Smith,35,05-Jul-2021 23:33:50,06-Jul-2021 01:03:27
Walton_Smith,36,06-Jul-2021 01:05:53,06-Jul-2021 04:12:24
Walton_Smith,37,06-Jul-2021 04:14:15,06-Jul-2021 07:27:09
Walton_Smith,38,06-Jul-2021 07:27:09,06-Jul-2021 11:10:59
Walton_Smith,39,06-Jul-2021 11:10:59,06-Jul-2021 15:04:30
Walton_Smith,40,06-Jul-2021 15:04:30,06-Jul-2021 18:47:35
Walton_Smith,41,06-Jul-2021 18:47:35,06-Jul-2021 23:01:36
Walton_Smith,42,06-Jul-2021 23:01:36,07-Jul-2021 03:54:45
Walton_Smith,43,07-Jul-2021 03:54:45,07-Jul-2021 08:21:17
Walton_Smith,44,07-Jul-2021 08:21:17,07-Jul-2021 13:17:35
Walton_Smith,45,07-Jul-2021 13:17:35,07-Jul-2021 18:23:45
Walton_Smith,46,07-Jul-2021 18:23:45,07-Jul-2021 23:40:17
Walton_Smith,47,07-Jul-2021 23:40:17,08-Jul-2021 04:30:41
